global_iterations,avg,min,max
1000,0.5601908365885416,0.528289794921875,0.5797119140625
2000,0.5786404079861112,0.5398966471354166,0.6016438802083334
3000,0.5859120686848959,0.5456085205078125,0.6094207763671875
4000,0.5881306966145834,0.54864501953125,0.61258544921875
5000,0.587738037109375,0.548370361328125,0.6125691731770834
6000,0.5853823707217263,0.5472412109375,0.61016845703125
7000,0.5824864705403646,0.54510498046875,0.6068878173828125
8000,0.5792891890914352,0.5427720811631944,0.6026272243923612
9000,0.5754964192708334,0.538800048828125,0.598565673828125
10000,0.5791239420572916,0.540692138671875,0.60313720703125
11000,0.570703125,0.533966064453125,0.593927001953125
12000,0.5614725748697917,0.52576904296875,0.58408203125
13000,0.5522115071614584,0.5175537109375,0.574737548828125
14000,0.5438374837239583,0.5098388671875,0.5658203125
15000,0.536651611328125,0.50252685546875,0.558538818359375
16000,0.5304097493489583,0.496630859375,0.5518798828125
17000,0.525439453125,0.491485595703125,0.546636962890625
18000,0.5212626139322916,0.48756103515625,0.5427978515625
19000,0.5183614095052084,0.48587646484375,0.539788818359375
20000,0.5166463216145833,0.483563232421875,0.539239501953125
21000,0.5139139811197917,0.48070068359375,0.536663818359375
22000,0.513006591796875,0.481695556640625,0.534979248046875
23000,0.5131184895833333,0.482257080078125,0.534967041015625
24000,0.5130961100260417,0.48238525390625,0.534814453125
25000,0.51380615234375,0.484222412109375,0.53538818359375
26000,0.5142557779947916,0.484771728515625,0.536077880859375
27000,0.5144022623697916,0.48558349609375,0.536865234375
28000,0.5150105794270834,0.485955810546875,0.5372802734375
29000,0.5160603841145833,0.48702392578125,0.539276123046875
30000,0.5161519368489583,0.488018798828125,0.53883056640625
31000,0.5171142578125,0.489971923828125,0.539373779296875
32000,0.5178914388020834,0.49049072265625,0.540606689453125
33000,0.51861572265625,0.49197998046875,0.54085693359375
34000,0.5201985677083333,0.493408203125,0.542645263671875
35000,0.5205607096354167,0.4941162109375,0.542767333984375
36000,0.5218465169270834,0.49688720703125,0.54344482421875
37000,0.5240885416666667,0.500225830078125,0.54432373046875
38000,0.5248555501302083,0.502056884765625,0.544830322265625
39000,0.5263895670572917,0.504364013671875,0.54482421875
40000,0.5282328287760417,0.506689453125,0.54593505859375
41000,0.5306660970052084,0.51031494140625,0.548541259765625
42000,0.5326029459635416,0.51435546875,0.549267578125
43000,0.5341898600260417,0.516510009765625,0.550225830078125
44000,0.5358805338541667,0.519696044921875,0.5509765625
45000,0.5383219401041666,0.523907470703125,0.55244140625
46000,0.5403523763020833,0.525396728515625,0.55401611328125
47000,0.5417012532552083,0.527130126953125,0.555572509765625
48000,0.5443562825520833,0.5308837890625,0.55838623046875
49000,0.546173095703125,0.533306884765625,0.5605224609375
50000,0.5484517415364583,0.53717041015625,0.562127685546875
51000,0.54984130859375,0.53843994140625,0.562554931640625
52000,0.552618408203125,0.54051513671875,0.5658447265625
53000,0.5553792317708333,0.54395751953125,0.5693359375
54000,0.55797119140625,0.5472900390625,0.571759033203125
55000,0.560491943359375,0.54940185546875,0.573883056640625
56000,0.563311767578125,0.552923583984375,0.5769775390625
57000,0.565972900390625,0.555377197265625,0.57994384765625
58000,0.5680948893229167,0.5572265625,0.58206787109375
59000,0.5699320475260417,0.559130859375,0.583697509765625
60000,0.571533203125,0.5606042480468749,0.58599853515625
61000,0.5734970092773437,0.5629220581054687,0.588397216796875
62000,0.5748248630099827,0.5642078653971354,0.590386962890625
63000,0.5765406290690105,0.5659046427408854,0.59183349609375
64000,0.5782380845811632,0.5671823120117188,0.59398193359375
65000,0.5801410251193577,0.5689421590169271,0.597381591796875
66000,0.5816479153103298,0.5709013875325522,0.598309326171875
67000,0.5832029554578994,0.5734302775065104,0.599078369140625
68000,0.5854293823242187,0.5761361694335937,0.60089111328125
69000,0.58804439968533,0.5788847859700521,0.6038818359375
70000,0.5906058417426215,0.5818852742513021,0.6052001953125
71000,0.5933783637152779,0.5846211751302084,0.607562255859375
72000,0.5956312391493056,0.5865946451822917,0.609234619140625
73000,0.5983405219184028,0.5899332682291667,0.610845947265625
74000,0.6006856282552084,0.5928670247395834,0.61248779296875
75000,0.6032158745659723,0.5958984375,0.6133056640625
76000,0.6058146158854167,0.598150634765625,0.615570068359375
77000,0.607889133029514,0.6000406901041667,0.61707763671875
78000,0.6096991644965278,0.6018391927083334,0.61846923828125
79000,0.6110738118489584,0.603314208984375,0.61907958984375
80000,0.6123368326822918,0.60479736328125,0.6203662109375
81000,0.6133225504557291,0.6061813354492187,0.6207675170898438
82000,0.6150254313151041,0.6081405639648437,0.6217623901367187
83000,0.6163614230685763,0.6089706420898438,0.6232638549804688
84000,0.6172023518880209,0.6098068237304688,0.6236402384440104
85000,0.6174288601345486,0.6105026245117188,0.6235995483398438
86000,0.6184311930338542,0.6122726440429688,0.6241468302408854
87000,0.6199034966362847,0.6139877319335938,0.6255445353190103
88000,0.6213669840494792,0.6157394409179687,0.6267855834960938
89000,0.6230725775824653,0.6173690795898438,0.6279330444335938
90000,0.6244198269314236,0.6184249877929687,0.6295842488606771
91000,0.6264695909288195,0.6207611083984375,0.6312306722005208
92000,0.6278845893012154,0.6228759765625,0.6323048909505208
93000,0.6291405571831598,0.6244537353515625,0.6334004720052083
94000,0.6310146755642361,0.625958251953125,0.6357401529947917
95000,0.6327667236328125,0.6273651123046875,0.6380696614583333
96000,0.634321763780382,0.6288604736328125,0.6398478190104167
97000,0.6353895399305556,0.6297393798828125,0.6412790934244792
98000,0.6366817898220486,0.6307098388671875,0.6426747639973958
