global_iterations,avg,min,max
10000,-4.116249999999998,-4.285499999999997,-3.946999999999999
20000,-3.716166666666666,-3.904999999999999,-3.5273333333333334
30000,-3.4937500000000004,-3.6614999999999998,-3.326000000000001
40000,-3.3311666666666677,-3.5695,-3.092833333333335
50000,-3.2325714285714295,-3.4480000000000004,-3.0171428571428587
60000,-3.010055555555557,-3.263000000000001,-2.7571111111111133
70000,-2.6941833333333354,-2.962333333333335,-2.4260333333333355
80000,-2.399200000000002,-2.6514333333333355,-2.146966666666669
90000,-2.2082333333333355,-2.4173000000000022,-1.9991666666666688
100000,-2.018666666666669,-2.2599666666666693,-1.7773666666666688
110000,-1.9141333333333352,-2.1947000000000028,-1.6335666666666682
120000,-1.8396166666666687,-2.1217666666666695,-1.5574666666666683
130000,-1.7355500000000021,-2.017166666666669,-1.4539333333333349
140000,-1.6164083333333352,-1.9236666666666689,-1.3091500000000014
150000,-1.5261250000000017,-1.8340000000000025,-1.2182500000000014
