global_iterations,avg,min,max
10000,-3.6825,-3.7910000000000004,-3.6189999999999998
20000,-3.0871111111111116,-3.2720000000000007,-2.923333333333334
30000,-2.6595833333333343,-2.8852500000000014,-2.4530000000000003
40000,-2.3546750000000007,-2.7500250000000013,-1.8756666666666673
50000,-2.0442979166666677,-2.4545812500000013,-1.5969375000000006
60000,-1.8852277777777786,-2.2901833333333346,-1.4385000000000006
70000,-1.7472827777777789,-2.159965000000001,-1.3026500000000008
80000,-1.3312605555555568,-1.7723983333333346,-0.871650000000001
90000,-1.05979388888889,-1.5291983333333348,-0.5668500000000009
100000,-0.890205000000001,-1.3510983333333344,-0.4108833333333342
110000,-0.7478272222222231,-1.206365000000001,-0.2835833333333341
120000,-0.5369577777777785,-0.9480566666666677,-0.16558333333333408
130000,-0.37304444444444523,-0.7198166666666677,-0.053283333333334085
140000,-0.2681111111111118,-0.5491666666666676,0.0037166666666659464
150000,-0.12516111111111178,-0.4229666666666674,0.172866666666666
