global_iterations,avg,min,max
10000,-4.444666666666664,-4.475999999999997,-4.414999999999997
20000,-4.420777777777776,-4.46733333333333,-4.356999999999998
30000,-4.40997222222222,-4.449916666666664,-4.3554999999999975
40000,-4.386027777777775,-4.435483333333331,-4.319999999999998
50000,-4.361356481481479,-4.408902777777775,-4.297833333333331
60000,-4.320996527777776,-4.377739583333331,-4.2389166666666656
70000,-4.294536111111109,-4.361791666666664,-4.200899999999999
80000,-4.22769722222222,-4.313241666666665,-4.096433333333333
90000,-4.172163888888887,-4.277674999999998,-4.009833333333333
100000,-4.123966666666666,-4.255699999999998,-3.9136833333333327
110000,-4.087688888888888,-4.231299999999999,-3.8739999999999997
120000,-4.042405555555555,-4.187349999999999,-3.848399999999999
130000,-4.021238888888888,-4.152399999999998,-3.8608499999999992
140000,-4.000877777777776,-4.127649999999998,-3.8568166666666657
150000,-3.9879055555555545,-4.128449999999999,-3.8311666666666655
