global_iterations,avg,min,max
10000,-4.2688333333333315,-4.309499999999997,-4.207499999999999
20000,-3.9718888888888877,-4.121666666666665,-3.799
30000,-3.7041666666666666,-3.927249999999999,-3.5127500000000005
40000,-3.4629333333333334,-3.6564,-3.283400000000001
50000,-3.2284444444444453,-3.4178333333333337,-3.0518333333333345
60000,-2.998952380952382,-3.2565714285714296,-2.7872857142857153
70000,-2.778822222222223,-3.07228888888889,-2.526777777777779
80000,-2.623540000000001,-2.8982600000000014,-2.381000000000001
90000,-2.3325816666666683,-2.623410000000001,-2.082275000000002
100000,-2.0454594444444463,-2.3586433333333354,-1.7752750000000017
110000,-1.798926111111113,-2.1200433333333355,-1.5374750000000015
120000,-1.407148333333335,-1.727110000000002,-1.117475000000001
130000,-1.1603316666666679,-1.4228100000000015,-0.893625000000001
140000,-0.879825000000001,-1.0779500000000013,-0.666825000000001
150000,-0.6868333333333343,-0.892100000000001,-0.4382000000000009
